id,full_text,label,annotator
1.4e+18,"Sesión de control en el Congreso. Le leo a la ministra de defensa un manifiesto firmado por ella en 2012 con otros 200 jueces más y  que se titulaba “ el indulto como fraude “. Le pregunto si aún piensa lo mismo. Respuesta: se marcha por otros cerros, silencio. https://t.co/p5NW5uBmnJ",-1,tiebreak_rule
1.37e+18,"Ayer mismo el Secretario de Estado de Turismo, imputado desde hace 6 meses por un presunto delito de corrupción, fue incapaz de responder al respecto en una entrevista. https://t.co/N4BBW0zPWv",-1,tiebreak_rule
1.37e+18,“Hoy una mayoría de las Cortes Generales hemos recogido el testigo de los enfermos y sus familiares que quieren vivir y morir con dignidad” @luisacarcedo https://t.co/XkUJkzhFZj,x,tiebreak_rule
1.4e+18,"@sanchezdelreal @AlbertoAsarta @Congreso_Es En todo caso, gracias por vuestra presencia, vuestra implicación en las actividades de la Comisión y la divulgación que haces de los temas tratados, que ciertamente han sido muy relevantes. Bona nit!",1,tiebreak_rule
1.39e+18,"Bruselas eleva la previsión de PIB de España, que será el país de la UE que más crecerá en 2021 y 2022 . https://t.co/5Cp81qzKbU",1,tiebreak_rule
1.39e+18,Con mi compañero @rodrijr111 apoyando en la calle a los compañeros de Madrid tras salir de comisiones de @VOX_Congreso #ProtegeMadrid https://t.co/We161K0MQx,0,tiebreak_rule
1.41e+18,@JuanMilian @EdicionesDeusto @Nurival @EconomiaED_ Enhorabuena Juan .Un lúcido y real análisis de la actualidad.,1,tiebreak_rule
1.39e+18,"El Ministro de Transportes @abalosmeco habla de avances históricos en Galicia en materia de peajes.  Sin duda, para Asturies sería histórico, y de justicia con las y los asturianos, suprimir ya el peaje del Huerna. ¿Nos ponemos con ello ya? 😊",1,tiebreak_rule
1.37e+18,"Un día como hoy, 8 de Marzo, Scott Fitzgerald: ""Cuando sientas deseos de criticar a alguien, recuerda que no todo el mundo ha tenido las mismas oportunidades que tú tuviste”. https://t.co/cLjToqPzoD",0,tiebreak_rule
1.38e+18,Siete países europeos dejarán de financiar los hidrocarburos en el extranjero. https://t.co/3GONVcSKQm,0,tiebreak_rule
1.41e+18,En Valencia hay un gobierno de gilipollas. Y no hay más. https://t.co/AEXwrPqpjw,-1,tiebreak_rule
1.39e+18,🇪🇺Conferencia de presidentes y presidentas de los parlamentos de la #UE.   ▶️https://t.co/rspqQTmeTY,0,tiebreak_rule
1.37e+18,"Un buen argumento que, como todos los demás, el consenso progre se pasa por el arco del triunfo https://t.co/njrrVHlMyD",-1,tiebreak_rule
1.41e+18,"Esta foto es del acto. Están en el homenaje con Bildu y dejan fuera , para hacer como que no están , a Gamarra y tres o cuatro más . https://t.co/zfI7XTRK9a",-1,tiebreak_rule
1.41e+18,El acuerdo que hoy hemos firmado con los agentes sociales refleja nuestro rotundo compromiso con las personas pensionistas de nuestro país. Tenemos una hoja de ruta clara para garantizar la sostenibilidad del sistema y #PensionesDignas para hoy y para el mañana. #SánchezARV https://t.co/bhplIKJxPd,1,tiebreak_rule
1.39e+18,“Sr. Casado: se le está poniendo cara de Albert Rivera”⤵️ https://t.co/OQ7BXIrPCi,-1,tiebreak_rule
1.4e+18,Al PP cuando no gobierna siempre se le olvida un pequeño matiz. Los gobiernos en España desde hace 42 años salen de las urnas. Se llama democracia!!!! @carmencalvo_ 👏🏻👏🏻👏🏻#SesiónDeControl https://t.co/kBp1UkAa68,-1,tiebreak_rule
1.38e+18,"@pepegamarra1 @cortesclm @pscmpsoe @jaregatero @Blanca_CLM @crismaestre @PabloBellido_Az @gpscongreso @gpssenado @garciapage Vuestras respuestas demuestran que no entendéis de qué se trata: ayudas para bancos, financieras, eléctricas, centrales nucleares, autopistas, partidos políticos, planes de pensiones...? En serio?",-1,tiebreak_rule
1.38e+18,Hoy el #Cmin del Gobierno de @sanchezcastejon trae buenas noticias para #Cantabria: la licitación de las obras del Desfiladero de la Hermida y un nuevo tramo para la llegada de la Alta Velocidad. Un Gobierno que cumple todos los compromisos del @PSOECantabria con nuestra tierra https://t.co/ePq0PqR5av,1,tiebreak_rule
1.37e+18,Incansables en la defensa de derechos fundamentales y de la libertad de los padres para elegir la educación que quieren para sus hijos.  https://t.co/XnAlqxAeKn,1,tiebreak_rule
1.4e+18,"🔹 Refuerzo FCSE 🔹 Renovar y tratamiento especial de infraestructuras 🔹 Analizar interconectividad aérea 🔹 Política social 🔹 Plan económico 🔹 Interconexiones energéticas Plan estratégico de Estado en materia social, de seguridad y económico para #Ceuta y #Melilla👇 https://t.co/JzTPyMtavL",1,tiebreak_rule
1.4e+18,Hoy hemos mantenido una reunión muy interesante con ES PLÁSTICO. #LeydeResiduos https://t.co/UWOO2QaQhD,1,tiebreak_rule
1.36e+18,El Gobierno sigue en su intento de limitar la soberanía del CGPJ a través de una reforma que limita sus funciones y compromete su independencia a la hora practicar nuevos nombramientos.   El Gobierno ni les escucha y ni les respeta. Está pasando en nuestra democracia. https://t.co/N5Q7vebgaO,-1,tiebreak_rule
1.38e+18,"@pauIa_ESP @_anapastor_ Qué magnífico es Dennis Prager, ¿verdad? (discrepo de él sobre el virus, pero sólo sobre eso). Muchas gracias!",1,tiebreak_rule
1.36e+18,"En 2 meses he visitado en Girona Roses, Olot, Torroella, Lloret y Figueras para aportar soluciones: -El PP trajo el AVE y hay que hacer parada del aeropuerto, mejorar N2, N260, C31 -Suprimir barracones escolares -Finalizar hospital Trueta -Frenar la okupación -Recuperar turismo https://t.co/CQBPA9qUcM",1,tiebreak_rule
1.4e+18,"Me reiría si no fuera porque todas estas tramas de corrupción del PP no han traído más que desigualdad, falta de oportunidades y exilio de los jóvenes de Castilla y León. https://t.co/HE3s2arQFn",-1,tiebreak_rule
1.4e+18,"@KikoOak ¡Feliz cumpleaños! Espero que estes pasando un día muy feliz. Seguro que te suena el repertorio, es de nuestra época 😉 Un beso https://t.co/asE73rflFM",1,tiebreak_rule
1.39e+18,"""España no tiene futuro sin jóvenes"".  https://t.co/436ADMPJCG",-1,tiebreak_rule
1.39e+18,@BernaldoDQuiros 🤣🤣🤣a algun@ del gobierno y sus chiringuitos le da un patatús,-1,tiebreak_rule
1.38e+18,@CasoAislado_Es @rubnpulido ¡Enhorabuena @rubnpulido! Reconocimiento más que merecido.  👏👏👏,1,tiebreak_rule
1.41e+18,De Simón a Simón. Descubra las diferencias https://t.co/i5MowIF1wB,x,tiebreak_rule
1.38e+18,"Pues a mí me ha parecido un #DebateTelemadrid  clarificador.   Y creo que tanto Monasterio como Ayuso han animado mucho a la participación... por la cuenta que nos tiene...   Lo que lo que está claro es que, a partir de ahora, el PP va a venir con extra de VOX de regalo...",1,tiebreak_rule
1.4e+18,El govern de @sanchezcastejon destina als Ajuntaments del Vallès Oriental 883.838 euros per al transport públic. https://t.co/kwtZAqZN9t,0,tiebreak_rule
1.37e+18,"Gracias al Gobierno de @sanchezcastejon (que después de años en los que los gobiernos del PP olvidaron #Lugo) que ha puesto en la agenda de nuestra provincia las inversiones ferroviarias, con 546 millones de inversión en el corredor Ourense-Monforte-Lugo 🛤🚈@mitmagob @abalosmeco https://t.co/9EL2u6B1OE",1,tiebreak_rule
1.4e+18,"Redondo “el barranquista”: https://t.co/3xY3HXoB7h se tiraba a un barranco cuando trabajaba para otros partidos. Lo que tiene ser mercenario. 2.Sánchez y Redondo nunca llegarán a ser Thelma y Louise. Es imposible. Y una sugerencia: al Congreso se viene tranquilo, matasietes. https://t.co/rpc2TIlYRn",-1,tiebreak_rule
1.4e+18,Se está celebrando el Foro Multiactor en el que se escucha cómo ha avanzado el proceso de consulta y diálogo de los actores  @AinaVS en representación del la Comisión Mixta del @Congreso_Es matiza el esfuerzo de los grupos para el consenso en el dictamen   #NoHayPlanetaB https://t.co/0hVtKl3wPD,1,tiebreak_rule
1.39e+18,🟢Aprobada la primera #LeyDeClima de nuestra historia!!   Con ella vamos a👇🏻  ✔️Reducir las emisiones de efecto invernadero un 23%  ✔️Implementar las energías renovables y que el 74% de la generación sea renovable  ✔️Disminuir el consumo de energía primaria un 39%  @Teresaribera https://t.co/UZeCFdysic,1,tiebreak_rule
1.41e+18,"7️⃣ años de la proclamación del Rey Felipe VI. Mi agradecimiento por su firme defensa de la legalidad y de la Constitución española, base de nuestra libertad, causa de nuestra prosperidad y principal fortaleza de una España mejor. Felicidades, Majestad. Viva el Rey. Viva España.🇪🇸 https://t.co/jW27FUilqr",1,tiebreak_rule
