id,full_text,annotator_1,annotator_2,annotator_3,label
1.40E+18,"Sesión de control en el Congreso. Le leo a la ministra de defensa un manifiesto firmado por ella en 2012 con otros 200 jueces más y  que se titulaba “ el indulto como fraude “. Le pregunto si aún piensa lo mismo. Respuesta: se marcha por otros cerros, silencio. https://t.co/p5NW5uBmnJ",0,-1,-1,-1
1.37E+18,"Ayer mismo el Secretario de Estado de Turismo, imputado desde hace 6 meses por un presunto delito de corrupción, fue incapaz de responder al respecto en una entrevista. https://t.co/N4BBW0zPWv",0,-1,-1,-1
1.37E+18,“Hoy una mayoría de las Cortes Generales hemos recogido el testigo de los enfermos y sus familiares que quieren vivir y morir con dignidad” @luisacarcedo https://t.co/XkUJkzhFZj,0,1,x,x
1.40E+18,"@sanchezdelreal @AlbertoAsarta @Congreso_Es En todo caso, gracias por vuestra presencia, vuestra implicación en las actividades de la Comisión y la divulgación que haces de los temas tratados, que ciertamente han sido muy relevantes. Bona nit!",1,1,1,1
1.39E+18,"Bruselas eleva la previsión de PIB de España, que será el país de la UE que más crecerá en 2021 y 2022 . https://t.co/5Cp81qzKbU",0,1,1,1
1.39E+18,Con mi compañero @rodrijr111 apoyando en la calle a los compañeros de Madrid tras salir de comisiones de @VOX_Congreso #ProtegeMadrid https://t.co/We161K0MQx,0,1,0,0
1.41E+18,@JuanMilian @EdicionesDeusto @Nurival @EconomiaED_ Enhorabuena Juan .Un lúcido y real análisis de la actualidad.,1,1,1,1
1.39E+18,"El Ministro de Transportes @abalosmeco habla de avances históricos en Galicia en materia de peajes.  Sin duda, para Asturies sería histórico, y de justicia con las y los asturianos, suprimir ya el peaje del Huerna. ¿Nos ponemos con ello ya? 😊",1,1,0,1
1.37E+18,"Un día como hoy, 8 de Marzo, Scott Fitzgerald: ""Cuando sientas deseos de criticar a alguien, recuerda que no todo el mundo ha tenido las mismas oportunidades que tú tuviste”. https://t.co/cLjToqPzoD",0,1,0,0
1.38E+18,Siete países europeos dejarán de financiar los hidrocarburos en el extranjero. https://t.co/3GONVcSKQm,0,0,0,0
1.41E+18,En Valencia hay un gobierno de gilipollas. Y no hay más. https://t.co/AEXwrPqpjw,-1,-1,-1,-1
1.39E+18,🇪🇺Conferencia de presidentes y presidentas de los parlamentos de la #UE.   ▶️https://t.co/rspqQTmeTY,0,0,0,0
1.37E+18,"Un buen argumento que, como todos los demás, el consenso progre se pasa por el arco del triunfo https://t.co/njrrVHlMyD",-1,-1,-1,-1
1.41E+18,"Esta foto es del acto. Están en el homenaje con Bildu y dejan fuera , para hacer como que no están , a Gamarra y tres o cuatro más . https://t.co/zfI7XTRK9a",-1,-1,-1,-1
1.41E+18,El acuerdo que hoy hemos firmado con los agentes sociales refleja nuestro rotundo compromiso con las personas pensionistas de nuestro país. Tenemos una hoja de ruta clara para garantizar la sostenibilidad del sistema y #PensionesDignas para hoy y para el mañana. #SánchezARV https://t.co/bhplIKJxPd,1,1,1,1
1.39E+18,“Sr. Casado: se le está poniendo cara de Albert Rivera”⤵️ https://t.co/OQ7BXIrPCi,-1,-1,-1,-1
1.40E+18,Al PP cuando no gobierna siempre se le olvida un pequeño matiz. Los gobiernos en España desde hace 42 años salen de las urnas. Se llama democracia!!!! @carmencalvo_ 👏🏻👏🏻👏🏻#SesiónDeControl https://t.co/kBp1UkAa68,-1,-1,-1,-1
1.38E+18,"@pepegamarra1 @cortesclm @pscmpsoe @jaregatero @Blanca_CLM @crismaestre @PabloBellido_Az @gpscongreso @gpssenado @garciapage Vuestras respuestas demuestran que no entendéis de qué se trata: ayudas para bancos, financieras, eléctricas, centrales nucleares, autopistas, partidos políticos, planes de pensiones...? En serio?",-1,-1,-1,-1
1.38E+18,Hoy el #Cmin del Gobierno de @sanchezcastejon trae buenas noticias para #Cantabria: la licitación de las obras del Desfiladero de la Hermida y un nuevo tramo para la llegada de la Alta Velocidad. Un Gobierno que cumple todos los compromisos del @PSOECantabria con nuestra tierra https://t.co/ePq0PqR5av,1,1,1,1
1.37E+18,Incansables en la defensa de derechos fundamentales y de la libertad de los padres para elegir la educación que quieren para sus hijos.  https://t.co/XnAlqxAeKn,1,1,1,1
1.40E+18,"🔹 Refuerzo FCSE 🔹 Renovar y tratamiento especial de infraestructuras 🔹 Analizar interconectividad aérea 🔹 Política social 🔹 Plan económico 🔹 Interconexiones energéticas Plan estratégico de Estado en materia social, de seguridad y económico para #Ceuta y #Melilla👇 https://t.co/JzTPyMtavL",1,1,0,1
1.40E+18,Hoy hemos mantenido una reunión muy interesante con ES PLÁSTICO. #LeydeResiduos https://t.co/UWOO2QaQhD,1,1,0,1
1.36E+18,El Gobierno sigue en su intento de limitar la soberanía del CGPJ a través de una reforma que limita sus funciones y compromete su independencia a la hora practicar nuevos nombramientos.   El Gobierno ni les escucha y ni les respeta. Está pasando en nuestra democracia. https://t.co/N5Q7vebgaO,-1,-1,-1,-1
1.38E+18,"@pauIa_ESP @_anapastor_ Qué magnífico es Dennis Prager, ¿verdad? (discrepo de él sobre el virus, pero sólo sobre eso). Muchas gracias!",1,1,1,1
1.36E+18,"En 2 meses he visitado en Girona Roses, Olot, Torroella, Lloret y Figueras para aportar soluciones: -El PP trajo el AVE y hay que hacer parada del aeropuerto, mejorar N2, N260, C31 -Suprimir barracones escolares -Finalizar hospital Trueta -Frenar la okupación -Recuperar turismo https://t.co/CQBPA9qUcM",-1,1,1,1
1.40E+18,"Me reiría si no fuera porque todas estas tramas de corrupción del PP no han traído más que desigualdad, falta de oportunidades y exilio de los jóvenes de Castilla y León. https://t.co/HE3s2arQFn",-1,-1,-1,-1
1.40E+18,"@KikoOak ¡Feliz cumpleaños! Espero que estes pasando un día muy feliz. Seguro que te suena el repertorio, es de nuestra época 😉 Un beso https://t.co/asE73rflFM",1,1,1,1
1.39E+18,"""España no tiene futuro sin jóvenes"".  https://t.co/436ADMPJCG",-1,-1,-1,-1
1.39E+18,@BernaldoDQuiros 🤣🤣🤣a algun@ del gobierno y sus chiringuitos le da un patatús,-1,-1,-1,-1
1.38E+18,@CasoAislado_Es @rubnpulido ¡Enhorabuena @rubnpulido! Reconocimiento más que merecido.  👏👏👏,1,1,1,1
1.41E+18,De Simón a Simón. Descubra las diferencias https://t.co/i5MowIF1wB,0,x,x,x
1.38E+18,"Pues a mí me ha parecido un #DebateTelemadrid  clarificador.   Y creo que tanto Monasterio como Ayuso han animado mucho a la participación... por la cuenta que nos tiene...   Lo que lo que está claro es que, a partir de ahora, el PP va a venir con extra de VOX de regalo...",1,1,x,1
1.40E+18,El govern de @sanchezcastejon destina als Ajuntaments del Vallès Oriental 883.838 euros per al transport públic. https://t.co/kwtZAqZN9t,1,0,0,0
1.37E+18,"Gracias al Gobierno de @sanchezcastejon (que después de años en los que los gobiernos del PP olvidaron #Lugo) que ha puesto en la agenda de nuestra provincia las inversiones ferroviarias, con 546 millones de inversión en el corredor Ourense-Monforte-Lugo 🛤🚈@mitmagob @abalosmeco https://t.co/9EL2u6B1OE",1,1,1,1
1.40E+18,"Redondo “el barranquista”: https://t.co/3xY3HXoB7h se tiraba a un barranco cuando trabajaba para otros partidos. Lo que tiene ser mercenario. 2.Sánchez y Redondo nunca llegarán a ser Thelma y Louise. Es imposible. Y una sugerencia: al Congreso se viene tranquilo, matasietes. https://t.co/rpc2TIlYRn",-1,-1,-1,-1
1.40E+18,Se está celebrando el Foro Multiactor en el que se escucha cómo ha avanzado el proceso de consulta y diálogo de los actores  @AinaVS en representación del la Comisión Mixta del @Congreso_Es matiza el esfuerzo de los grupos para el consenso en el dictamen   #NoHayPlanetaB https://t.co/0hVtKl3wPD,1,1,0,1
1.39E+18,🟢Aprobada la primera #LeyDeClima de nuestra historia!!   Con ella vamos a👇🏻  ✔️Reducir las emisiones de efecto invernadero un 23%  ✔️Implementar las energías renovables y que el 74% de la generación sea renovable  ✔️Disminuir el consumo de energía primaria un 39%  @Teresaribera https://t.co/UZeCFdysic,1,1,1,1
1.41E+18,"7️⃣ años de la proclamación del Rey Felipe VI. Mi agradecimiento por su firme defensa de la legalidad y de la Constitución española, base de nuestra libertad, causa de nuestra prosperidad y principal fortaleza de una España mejor. Felicidades, Majestad. Viva el Rey. Viva España.🇪🇸 https://t.co/jW27FUilqr",1,1,1,1
1.40E+18,"Iniciamos los trabajos de la ponencia relativa a la Conferencia sobre el Futuro de Europa 🇪🇺 en la Comisión #MixtaUE.  En el centro, la defensa de los DDHH y de sus defensor@s.  https://t.co/vY2azBz5KB  @HelenaMaleno  #Migraciones #CooperaciónParaElDesarrollo https://t.co/PvtfpjshN8",1,1,1,1
1.38E+18,"🌳 #OLIVAREROS | Nueva reducción de módulos del IRPF al sector agrario, una eliminación de impuestos al campo por valor de 1.000 Millones €.  Apoyo, compromiso y sensibilidad con los agricultores en tiempos difíciles.   📲 Más en la web ⤵️  https://t.co/thqauMazv4 https://t.co/ihu85vtPKM",1,1,1,1
1.35E+18,"Empieza en Arabia Saudí el Dakar 2021 y en la salida está uno de los máximos ejemplos de superación humana: el gran Isidre Esteve. Al volante de su coche adaptado, ojalá consiga buenos resultados. Hay que seguirlo. Enhorabuena a sus patrocinadores! Doce etapas por delante. https://t.co/mXkSy7KVqn",1,1,1,1
1.38E+18,"He insistido en preguntarle a la ministra @sanidadgob si existe plan de vacunación de las más de 600mil personas en situación administrativa irregular  Básicamente, porque no existen para el Estado. No son. No están. No se les reconocen como sujetos de derechos  #RegularizacionYa https://t.co/BkT6mDxr0g",-1,-1,-1,-1
1.38E+18,Olé y olé. Una mujer que se atreve con todo. Bravo @monasterioR https://t.co/hiGxqUsghF,1,1,1,1
1.38E+18,"@j_giner Un abrazo fuerte, Javi.",1,1,1,1
1.38E+18,Es muy fácil.  .@Yolanda_Diaz_ al Partido Popular:  ‘Súmense al cambio y defiendan a su pueblo’  #SesionDeControl https://t.co/VEX8WM8aBe,-1,1,-1,-1
1.38E+18,@alvaronieto Excelente labor Alvaro. Muchísima suerte en el futuro.,1,1,1,1
1.39E+18,A la salida del acto de @vox_es en Colón . Los madrileños aclaman a @monasterioR para ganar el día 4 . Muy pronto: @Santi_ABASCAL presidente de España!! https://t.co/PFlL0TnTtF,1,1,1,1
1.40E+18,Europa elige los bosques sorianos para aprender a adaptarse al cambio climático https://t.co/HGtBgNIpO7,0,0,0,0
1.41E+18,"Lo peor de esta trola de la izquierda - que hasta los newtralitos han tenido que desmentir- es que no ha ido contra @VOX_Badajoz ,sino que es la enésima forma de los rojeras e indepes urbanos de tratar de ofender a todo #Badajoz y #Extremadura.   https://t.co/3el8Lohdao",-1,-1,-1,-1
1.39E+18,🌱💧🦩 Aprobada la PNL del @gpscongreso para la puesta en marcha de un Plan de Restauración de Humedales y su Entorno.   A pesar del voto en contra de VOX y la abstención del PP... 🤷‍♀️  Bonita forma de celebrar el #DiaDeLaTierra https://t.co/V8HM5PyNv7,-1,-1,x,-1
1.40E+18,@WestJail @fareroRDM @_N_Jones Ojalá que la tuya un día se mejore. 😉,1,x,1,1
1.38E+18,Los gobiernos de Sánchez y el de su empleado en Canarias han abandonado a los canarios y les han condenado a una invasión violenta que les ha robado la seguridad y la prosperidad.  Pagarán muy caro por ello cuando se atrevan a devolver a los canarios la palabra y el voto. https://t.co/Bu6WpgHjxx,-1,-1,-1,-1
1.40E+18,"Ser de @populares es un orgullo, aunque en algunos sitios de 🇪🇸 siga siendo un pecado para los separatistas.  Todo mi apoyo y cariño a @IGarcia_Calvo por lo sufrido. https://t.co/HRafqKzPFm",1,1,x,1
1.41E+18,"Cree que el Gobierno ha puesto piedras en el camino de la investigación de crímenes del franquismo, lo que se conoce como Querella Argentina. «Desde el momento en que la justicia argentina aceptó el caso, el Gobierno español comenzó a dificultar la evolución de la investigación».",-1,-1,-1,-1
1.37E+18,In love ❤... y nada más... https://t.co/jifWoYXV6R,1,1,1,1
1.41E+18,"Si ellos están, es que estoy en el equipo correcto @angelesferriz @MariaMarquez88 @GerardoArmilla @aramaese empieza el equipo del cambio 💪✌️❤️ https://t.co/9s4VGA01Qy",1,1,1,1
1.41E+18,"""Primero el bloqueo vino del entonces fiscal general del Estado, Cándido Pumpido; después de demás gobiernos. El Ejecutivo español bloqueó videoconferencias en la embajada argentina en Madrid, con las que la jueza quería tomar declaración a algunas de las víctimas.""",-1,-1,-1,-1
1.36E+18,Pleno y al mismo tiempo sesión de invierno de la @oscepa desde el @Congreso_Es de forma telemática debatiendo sobre el mundo #COVID19 https://t.co/DyGxxrmOmd,0,0,0,0
1.37E+18,El Defensor del Pueblo europeo critica que la evaluación de sostenibilidad ambiental del acuerdo UE/Mercosur no se haya completado antes de que los negociadores cerrasen el acuerdo 👉🏽 Aquí la nota completa https://t.co/NEPhlkS2c8,-1,0,-1,-1
1.39E+18,"La representante de Podemos en la Junta Electoral cancela un acto de Leopoldo López en la UCM ""por la crispación política"" @elmundoes. Libertad https://t.co/95rdxMM7FN",-1,0,-1,-1
1.39E+18,"Escoltar ràdios i TV’s post huracà Monasterio a la Ser és curiós. Primer shok, després, ombliguisme coorporatiu, de postre: senyalar a la víctima amb una versió del conegut “es que si llevaba minifalda...algo buscaba”  Això d’@AntonioMaestre em sembla significatiu https://t.co/99G6dPOiJY",-1,x,-1,-1
1.39E+18,"#Vigo estrena su primer banco LGTB, un homenaje a las víctimas del crimen de la calle Oporto - Metropolitano https://t.co/krz457ZPkW",0,1,1,1
