id,mp_party
505486119103111168,Labour Party
505390566415564801,Labour Party
505387168106553344,Labour Party
505340033101225984,Labour Party
505339978784993280,Labour Party
505330754235432960,Labour Party
505330452069380097,Labour Party
505324861380898816,Labour Party
505294640556556288,Labour Party
505286353412960256,Labour Party
505286210726920192,Labour Party
505286108671119360,Labour Party
504949650194182144,Labour Party
504949498079379456,Labour Party
504949467645480962,Labour Party
504948927553355776,Labour Party
504943736066166784,Labour Party
504937277735571456,Labour Party
504936411943145472,Labour Party
504936047185518592,Labour Party
504935747091464192,Labour Party
504883302030123008,Labour Party
504730508480479232,Labour Party
504667919578849280,Labour Party
504618761618739200,Labour Party
504615109378203648,Labour Party
504614904796835841,Labour Party
504596671909883904,Labour Party
504572644038311936,Labour Party
504572060207943680,Labour Party
504571502365523968,Labour Party
504559486041088000,Labour Party
504558452098994176,Labour Party
504374399265681408,Labour Party
504351006097145857,Labour Party
504350801117343744,Labour Party
504342820506066944,Labour Party
504310495772704768,Labour Party
504310374871887872,Labour Party
504310116024586240,Labour Party
504290885811851264,Labour Party
504268894333587457,Labour Party
504250816413581312,Labour Party
504250441807695872,Labour Party
504249844144570368,Labour Party
504248297025179648,Labour Party
504248101973270528,Labour Party
504247748280201216,Labour Party
504247106962747392,Labour Party
504243760314974208,Labour Party
504243389538529281,Labour Party
504243227449626625,Labour Party
504242921366102017,Labour Party
504241702367162368,Labour Party
504241192545300481,Labour Party
504240539810955264,Labour Party
504239404316381184,Labour Party
504237071830360064,Labour Party
504236936568250369,Labour Party
504235532659212288,Labour Party
504196372271464448,Labour Party
504182307658670080,Labour Party
504043234839244800,Labour Party
504042810052726784,Labour Party
504021236255817730,Labour Party
504021218677497856,Labour Party
504021171244126209,Labour Party
504021108325367808,Labour Party
504009008936914945,Labour Party
504005220339572736,Labour Party
504004232547418112,Labour Party
503911132248027137,Labour Party
503832009777487872,Labour Party
503814087512707073,Labour Party
503666956818722816,Labour Party
503653370843131904,Labour Party
503651222713540608,Labour Party
503650897139077121,Labour Party
503649684800679936,Labour Party
503649626936049664,Labour Party
503649063758487554,Labour Party
503645338545451008,Labour Party
503641360705286144,Labour Party
503639639442591745,Labour Party
503639440708104192,Labour Party
503638898653020160,Labour Party
503638414395465729,Labour Party
503484512949788672,Labour Party
503462055915954176,Labour Party
503309797425709056,Labour Party
503307367766036481,Labour Party
503236046331838465,Labour Party
503235860104744960,Labour Party
503235649949155328,Labour Party
503235618051465216,Labour Party
503235272071720960,Labour Party
503235256724783105,Labour Party
503141041868771328,Labour Party
503084837704441856,Labour Party
502883619720151040,Labour Party
502806823066279937,Labour Party
502785753831579648,Labour Party
502740186485100544,Labour Party
502726924704448514,Labour Party
502709897587216384,Labour Party
502476918995046400,Labour Party
502456311205068801,Labour Party
502455971911053312,Labour Party
502454832750657536,Labour Party
502454369082568704,Labour Party
502432985447419904,Labour Party
502432844325879808,Labour Party
502369717290795008,Labour Party
502366629268029440,Labour Party
502366242276397057,Labour Party
502227202965241856,Labour Party
502190126702026752,Labour Party
502149082253910016,Labour Party
502122560646299648,Labour Party
502122521840607232,Labour Party
502099714314338304,Labour Party
502065594905419779,Labour Party
502061896108101632,Labour Party
502060575716032512,Labour Party
502060009627598848,Labour Party
502059317923938305,Labour Party
502058944765116417,Labour Party
502056816340398080,Labour Party
502056699352875009,Labour Party
502056351162728449,Labour Party
502056229275840514,Labour Party
502055920911020032,Labour Party
502055844918624257,Labour Party
502055733509488640,Labour Party
502030294862819328,Labour Party
501972242394521600,Labour Party
501847356716113920,Labour Party
501847311086272512,Labour Party
501828778612363265,Labour Party
501827959871643648,Labour Party
501827854661730306,Labour Party
501827500557611008,Labour Party
501822768258621440,Labour Party
501784907178573824,Labour Party
501784755772592128,Labour Party
501784717868675072,Labour Party
501784362325917696,Labour Party
501784145518149632,Labour Party
501783987233497088,Labour Party
501783460768673793,Labour Party
501783331256942592,Labour Party
501783196955332608,Labour Party
501781578222432257,Labour Party
501781564171497472,Labour Party
501725955002740736,Labour Party
501725659669221377,Labour Party
501722807018192896,Labour Party
501722365894885376,Labour Party
501676196326014977,Labour Party
501666527058612224,Labour Party
501659663994466304,Labour Party
501659215862460417,Labour Party
501610271518240768,Labour Party
501609740934586368,Labour Party
501478546091819008,Labour Party
501470022829871104,Labour Party
501412000367656961,Labour Party
501411845165834240,Labour Party
501391275074265088,Labour Party
501384812868169728,Labour Party
501384780060295168,Labour Party
501383655030554624,Labour Party
501383035468922880,Labour Party
501359451052736512,Labour Party
501358638825758720,Labour Party
501358443572523008,Labour Party
501358297174519809,Labour Party
501358078865203200,Labour Party
501357722999484416,Labour Party
501357484750417920,Labour Party
501357193023983617,Labour Party
501357110001938432,Labour Party
501320364690264064,Labour Party
501320349859213312,Labour Party
501320202798501888,Labour Party
501319873713430528,Labour Party
501317782500560897,Labour Party
501299348563836928,Labour Party
501290727633330176,Labour Party
501289931449180160,Labour Party
501113549746626562,Labour Party
501087777325604868,Labour Party
501087583607468032,Labour Party
500997406126002176,Labour Party
500997230200107008,Labour Party
500997059110256641,Labour Party
500996853874573312,Labour Party
500996699540963330,Labour Party
500996645673525248,Labour Party
500996627801591809,Labour Party
500995783928590336,Labour Party
500995552558202881,Labour Party
500995195899756544,Labour Party
500994957097046016,Labour Party
500994313560788992,Labour Party
500992980145418242,Labour Party
500992832535277568,Labour Party
500991986015698944,Labour Party
500276232001695745,Labour Party
500275147639889921,Labour Party
500258954770137088,Labour Party
500191233747464192,Labour Party
500188219162783744,Labour Party
500187964501401600,Labour Party
500187670178721793,Labour Party
500187539979124736,Labour Party
500058595799863297,Labour Party
500058322490654720,Labour Party
500057970143944705,Labour Party
499976028467781634,Labour Party
499975421275168768,Labour Party
499888784998432769,Labour Party
