id,mp_party
1368907879412080640,Labour
1368898795816226816,Labour
1368764496416739330,Labour
1368654341817700356,Labour
1368223902422425607,Labour
1367918439650783233,Labour
1367909721747947520,Labour
1367845794200629259,Labour
1367791816536363008,Labour
1367546233695436800,Labour
1367509857847377920,Labour
1367440510399488003,Labour
1367246490372952066,Labour
1367195324004130818,Labour
1367160148096135171,Labour
1367143611285049344,Labour
1367127205831188489,Labour
1367082310437330944,Labour
1366806553714655233,Labour
1366783708984979456,Labour
1366752037422194688,Labour
1366733590143328263,Labour
1366695755159920640,Labour
1366402540825411589,Labour
1365713352660574215,Labour
1365695445956198402,Labour
1365375000191107075,Labour
1365301794432253953,Labour
1365288102118449153,Labour
1365094741436739584,Labour
1364999903831683072,Labour
1364982817352990723,Labour
1364964883561857027,Labour
1364918936605753347,Labour
1364916907191783424,Labour
1364877757495316480,Labour
1364661568114470913,Labour
1364650316432625667,Labour
1364637757889519628,Labour
1364636509224251395,Labour
1364614840262787076,Labour
1364587409720176643,Labour
1364563703010643970,Labour
1364562894512398342,Labour
1364538019747946496,Labour
1364326589320867845,Labour
1364305407934611459,Labour
1364291107534876676,Labour
1364275745841963013,Labour
1364236363365838848,Labour
1364225518300663816,Labour
1364160595793166339,Labour
1363952076045320206,Labour
1363937999269027840,Labour
1363894359985426435,Labour
1363807372528013314,Labour
1363769322485805056,Labour
1363467600672522243,Labour
1363262638768152577,Labour
1363262370232082432,Labour
1363118324511571972,Labour
1363079084893470724,Labour
1362871269495091201,Labour
1362852244148862976,Labour
1362800887182352386,Labour
1362787447134912512,Labour
1362787369850699781,Labour
1362739532886642690,Labour
1362415911702040578,Labour
1362011679475851269,Labour
1361998850676961289,Labour
1361768853206929408,Labour
1361759107221491717,Labour
1361759104730095637,Labour
1361738154231922695,Labour
1361671717211545600,Labour
1361657066499235854,Labour
1361401019926794240,Labour
1361392552549752834,Labour
1361332678306504705,Labour
1361298500236042242,Labour
1361276182109503494,Labour
1361095318323003394,Labour
1361049741593878528,Labour
1360667691791613957,Labour
1360628483832107013,Labour
1360541560925020166,Labour
1360293977153495045,Labour
1360281550730969090,Labour
1360281165379305474,Labour
1360218071168860161,Labour
1360207143950036994,Labour
1360184182534778883,Labour
1359977845162979330,Labour
1359879389450805249,Labour
1359851911701270532,Labour
1359822594497785860,Labour
1359638217000181762,Labour
1359573005874188292,Labour
1359554556129083399,Labour
1359554555017625601,Labour
1359514311689928710,Labour
1359512130110828544,Labour
1359481572429332488,Labour
1359467357249404929,Labour
1359245946488561665,Labour
1359231835218321409,Labour
1359137421192007681,Labour
1359099344541151235,Labour
1359098881989087234,Labour
1358867581147508741,Labour
1358867362909413378,Labour
1358858558536826891,Labour
1358760807287279620,Labour
1358758810492502016,Labour
1358718316760735744,Labour
1358541522698960896,Labour
1358532435399573510,Labour
1358197476579246080,Labour
1358185914799955970,Labour
1358119609279385603,Labour
1358063078148046849,Labour
1357753499132559362,Labour
1357751523137253381,Labour
1357721350702571525,Labour
1357710181434601475,Labour
1357701858467397633,Labour
1357699066176626690,Labour
1357683108372508675,Labour
1357396711577157637,Labour
1357369049232138250,Labour
1357356648579407874,Labour
1357275523894935553,Labour
1357047980747087879,Labour
1357031656968888326,Labour
1357011768049098753,Labour
1357011765993877504,Labour
1356955650966908930,Labour
1356669633114292224,Labour
1356647239683362823,Labour
1356607523936206850,Labour
1356584140729180161,Labour
1356542663936376836,Labour
1356356775633707008,Labour
1356341407548649472,Labour
1356311327095066626,Labour
1356311325580910593,Labour
1356311322393255936,Labour
1356311315896283136,Labour
1356269913573355524,Labour
1356197772723150848,Labour
1355911154170814469,Labour
1355904877088677888,Labour
1355900120936685571,Labour
1355612497156386824,Labour
1355283666377830401,Labour
1355258631919439881,Labour
1355208363316019220,Labour
1355199256106311682,Labour
1355192352248360964,Labour
1355181265813729282,Labour
1355168989027192836,Labour
1355139542135746560,Labour
1354890551192133636,Labour
1354841144740474882,Labour
1354788193305034754,Labour
1354517846047531015,Labour
1354490034121043970,Labour
1354414673785925632,Labour
1354152987950780417,Labour
1354128416568537088,Labour
1354117601849454595,Labour
1354081952710742017,Labour
1354021843359981569,Labour
1353838500706201601,Labour
1368141208174858240,Labour
1367213272026513409,Labour
1363951425513021443,Labour
1362852488727171072,Labour
1362381419247460354,Labour
1362379144504496131,Labour
1361685619030777856,Labour
1360255392517926912,Labour
1357388833931812864,Labour
1357028884361981955,Labour
1356565747447844864,Labour
1356215399549972480,Labour
1356214097457664001,Labour
1355984020903964675,Labour
1355254810329673730,Labour
1354779722878775297,Labour
1354522758445740033,Labour
1354384497924591621,Labour
1353653312000815106,Labour
1352705450656018434,Labour
1352205431465193475,Labour
1350783162146811906,Labour
1350109136437051395,Labour
1348623631539204098,Labour
1348569163938324484,Labour
1346140471354122252,Labour
1346121102511247361,Labour
1346074463394279424,Labour
1368833388426235905,Labour
1367448260714110978,Labour
1367409227086585859,Labour
1367139658296152066,Labour
1366155304996642816,Labour
1366118311738630146,Labour
1366118309775757313,Labour
1366098977033248768,Labour
1365671966607372290,Labour
1364958418033930243,Labour
1364958411130028036,Labour
1364644819428081677,Labour
1364644570726817793,Labour
1364643182613561344,Labour
1364585459075137542,Labour
1364582208158240770,Labour
1364576174106685440,Labour
1364569891886489602,Labour
1362476979044417545,Labour
1362377385870581760,Labour
1362170291326181381,Labour
1361261182741585921,Labour
1360265874159112195,Labour
1360265870430392322,Labour
1359075727400910850,Labour
1358898790061768713,Labour
1358820313144958976,Labour
1357841834198859781,Labour
1357753579856158725,Labour
1357371235034882048,Labour
1357360892963348480,Labour
1357037631268356102,Labour
1356952494518259716,Labour
1356947327513202694,Labour
1356649356120776704,Labour
1356634300309979136,Labour
1356512081483358209,Labour
1354812249110503425,Labour
1354580031843033091,Labour
1354458851924455427,Labour
1354209898972786689,Labour
1354208212053065731,Labour
1354122628181716993,Labour
